Usage ID,Subscription ID,Account ID,Usage Date,Usage Month,Feature Name,Usage Count,Usage Duration Secs,Error Count,Is Beta Feature
U-720a29,S-f9b1d0,A-65a46c,2024-12-02,2024-12-01,feature_12,12,900,0,False
U-a7c89a,S-3673f2,A-cd458b,2024-08-25,2024-08-01,feature_36,9,2061,0,False
U-138675,S-813cdc,A-39b19f,2023-07-30,2023-07-01,feature_37,5,960,0,False
U-77404d,S-6c969d,A-855a48,2024-08-31,2024-08-01,feature_3,9,5022,0,False
U-25b56c,S-810c27,A-8ed5dd,2024-10-06,2024-10-01,feature_20,7,231,0,False
U-54d795,S-0c47cb,A-b9eed8,2024-12-17,2024-12-01,feature_4,14,1190,0,True
U-ed08bd,S-6c7bd8,A-7f8241,2024-10-10,2024-10-01,feature_40,7,2464,0,False
U-ba2bf3,S-8b52b5,A-c1dfe1,2024-03-24,2024-03-01,feature_19,9,441,0,False
U-624d96,S-049328,A-39b19f,2023-12-29,2023-12-01,feature_38,7,2653,0,True
U-7d32fc,S-e7e4bd,A-1f0ac7,2024-12-03,2024-12-01,feature_37,8,2824,0,False
U-424739,S-8e5fd4,A-43a9e3,2024-08-19,2024-08-01,feature_4,12,2352,3,False
U-9ee469,S-69fb37,A-e4bf56,2024-12-20,2024-12-01,feature_10,6,1374,0,False
U-fd7a68,S-cd4d67,A-40de06,2024-11-25,2024-11-01,feature_22,12,5664,0,True
U-477ca5,S-3ea3af,A-019782,2024-07-30,2024-07-01,feature_36,11,6171,0,False
U-e01529,S-2923fc,A-fa3095,2024-12-11,2024-12-01,feature_10,9,4257,0,False
U-e5b4b3,S-c2f293,A-69b156,2024-12-12,2024-12-01,feature_39,10,1340,0,False
U-1662fe,S-8b64df,A-92a333,2024-04-19,2024-04-01,feature_31,12,2112,1,False
U-ef63a1,S-0921a1,A-ee42db,2024-12-26,2024-12-01,feature_4,12,4224,0,False
U-bc70f2,S-34b845,A-432483,2024-05-05,2024-05-01,feature_35,10,2260,2,False
U-e377bf,S-6587d8,A-2446e3,2024-11-04,2024-11-01,feature_7,8,4248,0,False
U-6b41f7,S-e36ccb,A-30b4ca,2024-09-21,2024-09-01,feature_19,8,4432,0,True
U-5c5044,S-425607,A-ffdfd5,2024-10-02,2024-10-01,feature_15,13,1859,0,False
U-93c6a4,S-66bae1,A-812c5b,2024-12-28,2024-12-01,feature_13,13,195,2,False
U-43761f,S-ff78bf,A-50f3f7,2024-10-11,2024-10-01,feature_14,8,448,1,True
U-b01e54,S-455183,A-22d9d2,2024-12-13,2024-12-01,feature_10,9,2061,0,False
U-d91111,S-3ad221,A-6f50ae,2024-08-04,2024-08-01,feature_27,15,5355,1,False
U-0f19cd,S-b1c57d,A-712533,2024-01-30,2024-01-01,feature_9,7,3143,1,False
U-260255,S-f28cde,A-cdf020,2024-11-01,2024-11-01,feature_36,7,2331,0,False
U-bb48d0,S-16b6dc,A-794a0b,2024-11-20,2024-11-01,feature_10,12,1296,0,False
U-8c1553,S-a916c8,A-3cc791,2024-06-09,2024-06-01,feature_3,6,3306,0,False
U-384ace,S-a4139f,A-c45b23,2024-08-31,2024-08-01,feature_40,8,840,1,False
U-b24f60,S-7b29d1,A-80eeb6,2024-11-04,2024-11-01,feature_39,11,6479,0,False
U-29fb62,S-6b7aa4,A-c37601,2024-12-07,2024-12-01,feature_16,10,840,0,False
U-9656e3,S-871e83,A-8adedc,2024-12-24,2024-12-01,feature_24,7,3822,0,False
U-04745a,S-f1778c,A-1d5444,2024-11-22,2024-11-01,feature_18,12,6192,3,False
U-b484bd,S-6c4770,A-fa3095,2024-12-15,2024-12-01,feature_1,6,3546,2,False
U-b4d7bc,S-802cc6,A-eafc6e,2024-09-25,2024-09-01,feature_20,12,6300,1,False
U-faa335,S-2ebd06,A-32728c,2024-03-16,2024-03-01,feature_26,8,2688,0,False
U-342dd1,S-fc1114,A-4c56c9,2024-10-06,2024-10-01,feature_23,10,1610,0,False
U-b7c6c8,S-ee30bb,A-526d93,2024-07-03,2024-07-01,feature_5,9,270,0,False
U-049032,S-c26c22,A-dec005,2023-11-30,2023-11-01,feature_34,11,561,0,False
U-88b809,S-d07886,A-0dbdc6,2024-08-10,2024-08-01,feature_8,5,1135,0,False
U-4445f3,S-aa7247,A-c7ffc2,2024-12-27,2024-12-01,feature_10,12,6420,3,False
U-52da99,S-9be237,A-a6d261,2024-10-17,2024-10-01,feature_29,8,1896,0,False
