account_id,account_name,industry,country,signup_date,referral_source,signup_month
A-2e4581,Company_0,EdTech,US,2024-10-20,partner,2024-10-01
A-43a9e3,Company_1,FinTech,IN,2023-09-20,other,2023-09-01
A-0a282f,Company_2,DevTools,US,2024-08-31,organic,2024-08-01
A-1f0ac7,Company_3,HealthTech,UK,2023-12-04,other,2023-12-01
A-ce550d,Company_4,HealthTech,US,2024-10-28,event,2024-10-01
A-1b9609,Company_5,EdTech,IN,2023-12-01,ads,2023-12-01
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-16,ads,2024-03-01
A-e5d6ab,Company_7,EdTech,US,2023-05-11,partner,2023-05-01
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,2024-09-01
A-10b8da,Company_9,DevTools,US,2023-05-12,partner,2023-05-01
A-592832,Company_10,Cybersecurity,US,2024-09-26,organic,2024-09-01
A-d40bf7,Company_11,FinTech,IN,2024-11-09,organic,2024-11-01
A-6c093d,Company_12,DevTools,US,2023-04-30,partner,2023-04-01
A-462d45,Company_13,Cybersecurity,US,2024-01-16,partner,2024-01-01
A-956988,Company_14,EdTech,UK,2024-12-01,ads,2024-12-01
A-ac14bb,Company_15,FinTech,US,2023-09-27,partner,2023-09-01
A-463db0,Company_16,HealthTech,US,2024-12-09,partner,2024-12-01
A-ce66f8,Company_17,EdTech,CA,2023-08-24,event,2023-08-01
A-c4ea60,Company_18,FinTech,DE,2023-04-11,other,2023-04-01
A-832ec2,Company_19,FinTech,UK,2024-01-02,event,2024-01-01
A-684255,Company_20,FinTech,US,2024-04-14,ads,2024-04-01
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,2024-07-01
A-4e44e8,Company_22,DevTools,US,2024-08-23,ads,2024-08-01
A-30b4ca,Company_23,EdTech,IN,2024-05-24,organic,2024-05-01
A-9f2731,Company_24,FinTech,IN,2024-10-12,event,2024-10-01
A-32fb14,Company_25,DevTools,US,2023-07-18,event,2023-07-01
A-00cac8,Company_26,HealthTech,AU,2023-09-16,organic,2023-09-01
A-35083d,Company_27,HealthTech,IN,2023-06-03,partner,2023-06-01
A-eb7fac,Company_28,DevTools,US,2023-12-26,organic,2023-12-01
A-b20d99,Company_29,HealthTech,IN,2024-01-26,other,2024-01-01
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,2024-10-01
A-45ce7a,Company_31,FinTech,US,2023-08-18,ads,2023-08-01
A-08e34e,Company_32,EdTech,US,2024-07-01,event,2024-07-01
A-8145a0,Company_33,Cybersecurity,AU,2023-08-07,partner,2023-08-01
A-bad8c1,Company_34,FinTech,AU,2023-06-12,organic,2023-06-01
A-44dc83,Company_35,EdTech,FR,2024-06-17,other,2024-06-01
A-f446b6,Company_36,DevTools,DE,2023-05-28,ads,2023-05-01
A-a45270,Company_37,HealthTech,US,2024-07-12,ads,2024-07-01
A-854864,Company_38,FinTech,IN,2024-12-09,event,2024-12-01
A-1b7577,Company_39,Cybersecurity,US,2024-10-28,other,2024-10-01
A-05f0e5,Company_40,FinTech,US,2023-06-11,partner,2023-06-01
A-9077b0,Company_41,HealthTech,US,2024-08-26,ads,2024-08-01
A-7f8241,Company_42,EdTech,US,2023-03-27,organic,2023-03-01
A-2bc93d,Company_43,HealthTech,US,2023-07-19,event,2023-07-01
A-f3ff05,Company_44,FinTech,IN,2024-08-01,other,2024-08-01
A-2d4502,Company_45,FinTech,IN,2024-04-30,event,2024-04-01
A-6a4e2d,Company_46,EdTech,UK,2023-05-29,partner,2023-05-01
A-eb7c38,Company_47,DevTools,AU,2024-04-11,organic,2024-04-01
A-c37601,Company_48,EdTech,US,2024-11-01,partner,2024-11-01
A-3b5cd1,Company_49,FinTech,US,2023-09-30,event,2023-09-01
A-b2225d,Company_50,FinTech,US,2024-04-02,ads,2024-04-01
A-94f8c9,Company_51,HealthTech,US,2024-04-05,other,2024-04-01
A-02fac6,Company_52,FinTech,US,2023-10-21,event,2023-10-01
A-c1dfe1,Company_53,DevTools,DE,2023-10-26,ads,2023-10-01
A-32728c,Company_54,DevTools,US,2023-04-04,event,2023-04-01
A-4c38bc,Company_55,HealthTech,UK,2024-03-17,event,2024-03-01
A-1b707d,Company_56,Cybersecurity,US,2023-11-14,organic,2023-11-01
A-6f8ad2,Company_57,EdTech,IN,2024-07-22,organic,2024-07-01
A-4d1e75,Company_58,DevTools,US,2024-09-07,other,2024-09-01
A-9ee962,Company_59,HealthTech,US,2023-06-23,ads,2023-06-01
A-378b99,Company_60,EdTech,UK,2024-09-10,ads,2024-09-01
A-94d3da,Company_61,HealthTech,US,2023-06-03,other,2023-06-01
A-e351e1,Company_62,EdTech,US,2024-09-27,other,2024-09-01
A-9badbd,Company_63,Cybersecurity,DE,2024-06-29,ads,2024-06-01
A-7e0a10,Company_64,FinTech,US,2023-11-29,ads,2023-11-01
A-118d55,Company_65,Cybersecurity,US,2024-10-26,organic,2024-10-01
A-526d93,Company_66,HealthTech,FR,2024-04-19,organic,2024-04-01
A-f92792,Company_67,FinTech,US,2024-07-07,ads,2024-07-01
A-84ebe4,Company_68,FinTech,US,2023-05-10,ads,2023-05-01
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-11,other,2024-07-01
A-2922b6,Company_70,HealthTech,US,2024-12-05,organic,2024-12-01
A-9b9fe9,Company_71,EdTech,AU,2023-10-16,other,2023-10-01
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-14,partner,2023-10-01
A-9174e0,Company_73,Cybersecurity,US,2024-12-06,partner,2024-12-01
A-a1bbb6,Company_74,DevTools,CA,2023-04-17,organic,2023-04-01
A-c45b23,Company_75,FinTech,UK,2023-12-29,partner,2023-12-01
A-02cd81,Company_76,HealthTech,IN,2024-03-28,other,2024-03-01
A-ee42db,Company_77,EdTech,DE,2023-05-01,ads,2023-05-01
A-432483,Company_78,Cybersecurity,US,2023-04-02,ads,2023-04-01
A-9208f0,Company_79,EdTech,US,2023-05-15,organic,2023-05-01
A-98a59a,Company_80,FinTech,UK,2023-09-02,partner,2023-09-01
A-fe79a5,Company_81,HealthTech,IN,2024-03-02,ads,2024-03-01
A-726cfa,Company_82,DevTools,US,2023-07-15,partner,2023-07-01
A-c43359,Company_83,FinTech,US,2024-11-18,organic,2024-11-01
A-271f46,Company_84,DevTools,US,2023-03-29,event,2023-03-01
A-157070,Company_85,FinTech,US,2023-12-12,ads,2023-12-01
A-40a557,Company_86,Cybersecurity,AU,2024-01-11,partner,2024-01-01
A-66224b,Company_87,HealthTech,US,2024-10-20,other,2024-10-01
A-91e948,Company_88,EdTech,AU,2023-08-14,partner,2023-08-01
A-104f1a,Company_89,Cybersecurity,US,2024-09-02,other,2024-09-01
A-7988d1,Company_90,Cybersecurity,US,2024-03-12,other,2024-03-01
A-faa28c,Company_91,HealthTech,US,2024-02-05,organic,2024-02-01
A-f25509,Company_92,EdTech,US,2024-05-28,other,2024-05-01
A-3a7284,Company_93,FinTech,US,2024-11-28,organic,2024-11-01
A-3a5ad8,Company_94,HealthTech,US,2023-12-18,organic,2023-12-01
A-65a46c,Company_95,HealthTech,US,2024-03-05,event,2024-03-01
A-8b25f2,Company_96,Cybersecurity,US,2024-02-19,ads,2024-02-01
A-fabe19,Company_97,DevTools,UK,2024-11-23,ads,2024-11-01
A-adc1f3,Company_98,Cybersecurity,US,2024-08-10,organic,2024-08-01
A-503d5a,Company_99,FinTech,US,2023-10-21,other,2023-10-01
A-fd7ad3,Company_100,Cybersecurity,US,2024-11-02,event,2024-11-01
A-186a44,Company_101,HealthTech,US,2023-08-23,ads,2023-08-01
A-e888d1,Company_102,Cybersecurity,US,2023-05-11,other,2023-05-01
A-69fad4,Company_103,FinTech,UK,2023-07-24,ads,2023-07-01
A-9289f6,Company_104,EdTech,US,2023-07-04,event,2023-07-01
A-f19409,Company_105,DevTools,US,2023-04-22,other,2023-04-01
A-22f2df,Company_106,DevTools,US,2024-12-16,ads,2024-12-01
A-039727,Company_107,EdTech,AU,2024-11-07,organic,2024-11-01
A-2e3bad,Company_108,FinTech,CA,2023-08-19,other,2023-08-01
A-484819,Company_109,HealthTech,US,2023-02-23,organic,2023-02-01
A-425e76,Company_110,DevTools,UK,2023-06-21,other,2023-06-01
A-e83938,Company_111,DevTools,UK,2024-02-08,other,2024-02-01
A-ad296b,Company_112,DevTools,AU,2024-07-23,event,2024-07-01
A-e51ec7,Company_113,FinTech,CA,2023-11-27,partner,2023-11-01
A-0aaf6e,Company_114,FinTech,US,2024-06-16,organic,2024-06-01
A-e61e98,Company_115,FinTech,US,2023-11-05,partner,2023-11-01
A-92a333,Company_116,FinTech,US,2023-08-04,event,2023-08-01
A-95b24a,Company_117,FinTech,US,2023-07-14,event,2023-07-01
A-42e5e1,Company_118,DevTools,US,2024-07-21,ads,2024-07-01
A-7d514c,Company_119,HealthTech,DE,2024-02-13,organic,2024-02-01
A-65aeb5,Company_120,DevTools,US,2024-02-02,partner,2024-02-01
A-e2cd1b,Company_121,DevTools,US,2024-02-22,other,2024-02-01
A-180abf,Company_122,DevTools,US,2023-09-16,event,2023-09-01
A-f17767,Company_123,DevTools,US,2023-02-15,event,2023-02-01
A-5a184f,Company_124,DevTools,DE,2023-08-31,other,2023-08-01
A-7df7a7,Company_125,DevTools,US,2023-02-05,organic,2023-02-01
A-1ac5e0,Company_126,DevTools,US,2024-10-24,event,2024-10-01
A-52dd88,Company_127,Cybersecurity,US,2023-03-26,ads,2023-03-01
A-bece89,Company_128,Cybersecurity,IN,2024-01-18,event,2024-01-01
A-029f69,Company_129,Cybersecurity,CA,2024-05-09,event,2024-05-01
A-5c046d,Company_130,EdTech,FR,2024-07-23,partner,2024-07-01
A-fb186e,Company_131,EdTech,IN,2024-11-16,organic,2024-11-01
A-ae052e,Company_132,FinTech,CA,2024-01-22,other,2024-01-01
A-9f9299,Company_133,FinTech,US,2023-11-24,organic,2023-11-01
A-96e141,Company_134,DevTools,UK,2023-10-14,partner,2023-10-01
A-117171,Company_135,HealthTech,FR,2024-10-02,organic,2024-10-01
A-313be3,Company_136,EdTech,US,2023-11-25,partner,2023-11-01
A-671f31,Company_137,DevTools,US,2024-11-27,ads,2024-11-01
A-bbc346,Company_138,FinTech,US,2024-08-31,partner,2024-08-01
A-c16101,Company_139,EdTech,IN,2024-09-06,other,2024-09-01
A-50f3f7,Company_140,HealthTech,US,2024-01-05,partner,2024-01-01
A-7da956,Company_141,Cybersecurity,US,2024-06-15,event,2024-06-01
A-019782,Company_142,DevTools,FR,2023-06-08,event,2023-06-01
A-df10db,Company_143,DevTools,US,2023-08-25,other,2023-08-01
A-3932db,Company_144,HealthTech,CA,2023-12-10,other,2023-12-01
A-4f18f0,Company_145,DevTools,CA,2024-04-25,other,2024-04-01
A-4c6f11,Company_146,FinTech,CA,2024-03-30,organic,2024-03-01
A-8ae05d,Company_147,FinTech,IN,2024-06-01,other,2024-06-01
A-b78bf8,Company_148,DevTools,US,2024-11-17,event,2024-11-01
A-eafc6e,Company_149,DevTools,US,2023-08-08,partner,2023-08-01
A-37f969,Company_150,HealthTech,IN,2023-10-24,partner,2023-10-01
A-10b8f2,Company_151,HealthTech,DE,2023-02-05,organic,2023-02-01
A-439b2f,Company_152,DevTools,US,2024-03-09,ads,2024-03-01
A-544d0a,Company_153,DevTools,US,2024-05-24,organic,2024-05-01
A-ba6516,Company_154,FinTech,US,2024-01-10,ads,2024-01-01
A-712426,Company_155,HealthTech,US,2024-11-10,other,2024-11-01
A-038089,Company_156,DevTools,FR,2024-06-27,other,2024-06-01
A-afa505,Company_157,DevTools,US,2024-01-08,partner,2024-01-01
A-d5a319,Company_158,FinTech,US,2023-06-27,other,2023-06-01
A-f97b9a,Company_159,FinTech,US,2023-09-10,event,2023-09-01
A-2f6a32,Company_160,HealthTech,US,2024-09-16,organic,2024-09-01
A-856b1e,Company_161,FinTech,US,2023-11-02,partner,2023-11-01
A-17939a,Company_162,HealthTech,US,2024-12-26,organic,2024-12-01
A-d27f50,Company_163,Cybersecurity,UK,2024-07-22,ads,2024-07-01
A-e36807,Company_164,EdTech,AU,2024-06-01,other,2024-06-01
A-ff79f2,Company_165,DevTools,US,2024-05-29,ads,2024-05-01
A-5b1bcd,Company_166,DevTools,US,2023-09-23,organic,2023-09-01
A-71615e,Company_167,EdTech,US,2024-06-27,organic,2024-06-01
A-794a0b,Company_168,HealthTech,DE,2023-08-07,organic,2023-08-01
A-86902e,Company_169,HealthTech,IN,2023-07-21,other,2023-07-01
A-0532a9,Company_170,FinTech,IN,2024-09-26,event,2024-09-01
A-9779ad,Company_171,Cybersecurity,AU,2024-04-07,event,2024-04-01
A-f45426,Company_172,HealthTech,US,2024-08-05,organic,2024-08-01
A-c1e51e,Company_173,FinTech,US,2024-10-20,organic,2024-10-01
A-fa3095,Company_174,FinTech,US,2023-09-18,ads,2023-09-01
A-ad64c6,Company_175,DevTools,UK,2024-03-07,event,2024-03-01
A-39b19f,Company_176,FinTech,US,2023-02-23,partner,2023-02-01
A-56962b,Company_177,EdTech,UK,2024-05-15,partner,2024-05-01
A-e60f9d,Company_178,FinTech,US,2024-09-17,other,2024-09-01
